mobileauszhGen20,mobileauszhGen19,mobileauszhPho21,mobileauszhGen31,mobileauszhGen34,mobileauszhGen53,mobileauszhGen58,mobileauszhGen60,mobileauszhGen64,mobileauszhGen66,mobileauszhGen75,mobileauszhGen77,mobileauszhGen89,mobileauszhVid93,mobilewuszhPho03,mobilewuszhGen20,mobilewuszhGen19,mobilewuszhPho21,mobilewuszhGen25,mobilewuszhLif30,mobilewuszhGen31,mobilewuszhPho33,mobilewuszhGen34,mobilewuszhGen36,mobilewuszhLif38,mobilewuszhGen39,mobilewuszhBlo40,mobilewuszhGen47,mobilewuszhGen53,mobilewuszhLif55,mobilewuszhBlo56,mobilewuszhGen58,mobilewuszhGen60,mobilewuszhGen64,mobilewuszhGen66,mobilewuszhLif69,mobilewuszhGen75,mobilewuszhGen77,mobilewuszhGen83,mobilewuszhGen89,mobilewuszhBlo90,mobilewuszhVid93,mobilewuszhGam94,mobilewspzhPho03,mobilewspzhGen20,mobilewspzhGen19,mobilewspzhPho21,mobilewspzhGen25,mobilewspzhLif30,mobilewspzhGen31,mobilewspzhPho33,mobilewspzhGen34,mobilewspzhGen36,mobilewspzhLif38,mobilewspzhGen39,mobilewspzhBlo40,mobilewspzhGen47,mobilewspzhGen53,mobilewspzhLif55,mobilewspzhBlo56,mobilewspzhGen58,mobilewspzhGen60,mobilewspzhGen64,mobilewspzhGen66,mobilewspzhLif69,mobilewspzhGen75,mobilewspzhGen77,mobilewspzhGen83,mobilewspzhGen89,mobilewspzhBlo90,mobilewspzhVid93,mobilewspzhGam94
0.627966379,-3.077253011,0.444004428,-0.17227467,0.971502775,1.245730656,-0.566770427,-0.144390629,-1.075944113,-0.265448905,0.248581017,1.43553222,-3.293471358,1.455275794,-0.647243814,1.650815884,-14.14119431,-3.054781259,3.357299091,-0.641491662,-4.550690659,-1.614973784,-11.23984254,-9.503615116,-1.04170333,-1.647997274,-0.299908361,-0.662989909,-6.469478251,-1.205976887,1.863483549,12.33122623,-19.95660844,-10.49601762,-13.94081579,-2.095054621,10.01937227,7.302337168,-5.705839245,8.283836995,0.675914657,-58.93798087,-1.960899338,-0.478765197,-0.884075145,1.624665288,0.627638028,-0.907753048,0.294450766,-0.391468655,-0.876889189,3.506575969,0.080719056,3.218012388,-0.618032011,-0.602687648,-0.862692931,-0.855938479,-0.841873222,-0.840870741,1.723247786,-0.215114877,-1.485037753,1.140430107,0.541084531,0.940680745,2.696139732,0.999655635,-2.50897973,0.691391807,-7.555282421,0.202694461
-0.530638221,0.211026363,-0.624101655,0.701289145,6.685920011,-0.98133067,-1.677238176,-0.275570593,-1.167914478,0.629629054,0.027728125,4.063263585,-3.331303639,15.61606588,-1.734661067,-4.816222657,-51.20533269,-7.585039047,-0.27472995,2.383415432,1.966090758,2.21908616,2.787753614,-4.794101417,-0.02741384,2.229148647,-0.483765551,-1.753310449,-3.394551074,-1.192936536,5.34534158,6.174942043,-7.199337419,-8.197414824,7.399209244,4.173345275,23.22119187,68.35729994,5.089815009,-11.55138367,-0.99704138,-36.28726043,0.992693637,-0.478759444,-0.900405204,-4.007768488,-1.375461422,1.035939673,0.350804809,-1.420138459,-0.868460943,-3.323097941,-0.967366255,-1.183348885,1.359826071,1.260684449,-0.89059361,3.198158634,0.239444952,0.135076795,-0.363350423,-0.260163416,-1.108810857,0.047202725,0.528490757,0.855164211,1.284731722,-0.036413651,-0.861973292,-0.527015045,1.398041844,-0.75537177
0.523641404,-3.061545765,0.36591434,-0.350584961,1.359468246,-0.919844741,1.32191835,-1.325972882,-0.177245104,-0.576054655,0.930011291,0.639747746,-2.264457695,0.580236674,4.252650743,2.473071261,6.440942613,0.659406725,0.05639453,0.267114444,-11.09572911,-3.870207479,5.763206494,-0.080962702,-1.095157898,1.963097867,-0.624993908,1.71229701,16.07641383,-0.245255632,-0.069880965,-7.326168894,-7.815772311,1.159704288,-9.244261122,5.500224751,-19.72469942,48.5480632,-2.175809487,-1.373648631,-8.928075903,-39.99686009,-0.054525199,-0.449688731,-0.851899716,3.038073689,1.678756944,1.088297177,-0.627309775,-1.337987578,-0.810106437,-3.64541178,0.106896787,0.272999771,1.376911058,1.083123635,1.138192221,-0.220724405,-0.751682601,-0.963407848,-0.324616476,-1.212331447,-1.739857005,0.084633145,-0.523360172,-2.074091382,-1.838963769,0.993028179,-3.620405689,0.32727422,-1.101279027,0.292458529
0.484970658,5.103509082,0.407577815,-0.274591827,-3.540408313,-0.770750728,0.358393,-1.245161823,0.907986572,-0.380708135,-3.036530624,-5.263365888,-1.063291966,3.729760653,0.256484145,4.430689009,-5.773925403,6.809718916,-2.606436287,-0.668266341,-1.292479175,-1.707488185,-8.619815075,3.33806219,0.000548966,0.952192228,0.478423637,-3.851884123,14.43549772,0.832817986,2.172200542,2.295591731,10.57189014,-5.516039322,-0.193236063,-6.945761013,-20.80750776,-0.087485158,-1.914388481,14.6339776,-5.83786725,-33.86690422,-1.92430261,-0.44678276,-0.831085452,-3.847089572,-0.335365622,0.087484826,-0.626334728,-0.347187138,-0.799437155,0.043360421,-0.899511144,-0.726740319,1.374478115,0.124967278,1.137660311,-1.205173886,-0.726009291,-1.827571383,-0.314430073,-2.146118532,-2.166712703,0.081885751,-0.468830558,-1.061555624,-0.63989652,1.351039394,-0.572542338,-0.610900559,-1.581891373,0.282853526
0.450959693,9.698773599,5.373016136,2.681750531,2.489917323,1.273351362,0.302154128,1.71248758,-0.176464707,3.627614223,4.878487144,2.03176136,0.924463404,6.658136249,2.207044864,-1.083807941,-35.59146717,-6.748081388,1.069795133,1.350943586,12.59426138,-0.768888264,-19.53081705,-2.869080341,-0.998837755,-2.215014466,-0.476249911,0.549840997,2.337267911,-0.16982498,-0.692377093,6.023101065,-0.762922272,10.6416185,-37.03315149,-1.112240037,-11.77490323,-32.37725967,8.005935694,-1.37356665,-4.663715579,12.42687449,2.077934195,-0.420719021,-0.785785494,-1.8306845,-0.294480456,1.113194191,0.424237531,-1.317202552,0.251757824,-0.950359171,-0.833027296,0.3470884,-0.626615312,-0.774711176,1.159220753,-1.022960705,-0.65773383,-0.558304257,1.720316696,-1.002637086,1.642985165,0.115316123,0.646091057,-1.991661055,-2.529149943,-0.982992081,-2.403534352,-0.443355255,-4.083676903,-0.663905635
-0.626251694,-2.755070933,0.095939653,-1.443019843,-3.836614948,-0.958474835,-0.827082179,-0.412930751,2.701862515,1.737619635,-0.368494061,-2.369877446,-1.289401217,-19.12727765,0.904133989,-2.311950315,69.31415068,-6.147607438,6.857105079,-0.801889005,4.830836379,0.820870078,16.36201208,-6.698105985,0.858394108,1.710330506,-0.574842089,11.74764986,-5.741352445,2.709757523,6.015991544,5.300265599,1.36896261,-8.930511471,29.67987988,-1.353395378,-4.851745492,-31.72102855,0.695988711,-2.782322766,-4.715732093,-10.04059531,2.787441099,-0.425405972,1.284032076,1.757670098,-0.30134741,-0.841515741,-0.531868906,0.759307452,-0.760581529,1.321058025,-0.742751142,-0.606050822,0.410049342,-0.754853689,-0.797300964,-1.830925918,0.403798782,-1.493163157,-0.250583984,1.112801814,-1.933587227,-0.815018204,-1.37462936,-0.866551246,-2.152934704,2.073726881,0.399990152,0.565327241,1.279191059,-0.626931785
0.542822392,-8.877375467,-0.684385395,-1.166953792,-1.16222987,0.344941686,0.469071176,2.868880777,-1.112290196,-1.287858735,4.704553059,3.359859916,1.144304995,-9.832248477,-0.733391933,-9.423377574,-31.52799874,-5.038944104,-2.332001182,-1.662257191,-8.023774196,-1.549857943,-88.73235078,3.115810033,0.006861732,-1.890434887,-0.466611478,-3.298281834,8.232437366,1.81859964,0.127274174,3.915878467,-1.845127996,-2.644356967,-26.8690865,1.153762228,10.32769947,-18.87983852,1.222837937,-3.177845833,-4.715731528,-53.58243242,2.124870781,-0.364411918,1.317223145,0.487497724,-0.207921904,-0.777061411,-0.577046871,-0.189932685,0.360592655,2.189768474,0.360569042,0.346126319,-0.543633145,1.230953879,0.263904102,1.496604988,0.349289864,-1.415406827,-0.202327546,2.159167165,-0.03416429,-0.69067498,-0.267712298,1.290736323,-1.781824751,0.239431723,0.392990846,-0.544694968,2.11153429,-0.646334195
0.541304692,2.963339383,1.357162085,-0.151539225,-0.094455653,-0.673754914,-0.528298582,-1.122961114,-1.060069194,1.027148279,-2.050915368,2.188380006,-1.887214562,-3.900213773,-0.643180262,-3.540233068,5.159083117,11.38391588,0.494629232,0.190921185,0.179205582,2.569298011,-21.52401845,-1.806950846,-0.979525847,-1.711072528,-0.562168065,-4.684530765,-3.083267745,-1.165649987,2.872901182,-2.234527148,-2.267596392,0.66626055,11.43624895,-1.943482542,16.49214758,-13.78638233,-0.76991726,0.691587544,-4.408238522,-54.38052832,3.103772554,-0.34271362,0.283571862,-2.617611015,0.825919187,2.221443131,2.420497249,-0.175713228,-0.597628206,-3.235590032,-0.65675221,1.340981042,0.45359647,-0.911037462,-0.740148446,0.297910156,1.333998911,-1.374628711,0.790241636,1.058640474,-1.987729816,3.327988169,0.755221632,-0.721011186,-0.59852582,-0.87083722,1.289600663,-0.706974323,1.370220103,0.339033814
-0.524645508,-2.738595851,0.24524062,1.751139409,0.716111156,-0.672980475,3.389556962,-0.223315605,1.874925202,0.715909183,-4.345463707,-3.156339322,-0.928696568,-4.536676433,-0.815542988,2.556407259,27.92035004,-8.956038269,-6.267997756,-0.706950707,-1.627061093,-1.747072093,37.04821526,4.279648829,1.909658486,-1.772157519,-0.625467803,-6.036379601,-3.923234462,-1.269641131,-2.308633976,-4.429145224,-5.606445581,0.067146107,-18.19127843,4.000761862,6.760613879,5.375490119,7.980043201,13.54642006,-3.443826854,-28.20427146,-1.059411301,0.599228841,-0.764986616,5.96530836,-1.268005377,-0.82503448,-0.612724196,2.778701552,-0.713471967,1.327444433,-0.677912809,-0.708822795,0.423335887,-0.933120789,0.225092347,0.20883283,0.264462935,-1.252408222,1.787140259,-2.050429311,2.707263819,-1.844301006,-0.37426376,4.179284094,-1.627533531,1.083816681,1.83084089,-0.762207473,2.870631311,1.318786466
-0.544739252,3.956567226,3.240118867,-1.303832197,-1.410345382,-0.642248594,0.248025903,-1.276312497,-1.245385867,2.498256021,0.692825585,-1.062905845,-0.951623627,8.345605476,0.194474139,3.181345448,-47.85075582,1.451442799,0.254355356,0.182955719,7.554450936,-0.756841997,40.37450102,9.255919938,-1.024403977,-1.762946442,-0.710200304,-2.791543885,6.508938855,0.805561106,-1.535698506,3.632544557,20.41885069,11.75545447,10.13525662,-2.3125698,-2.615549884,21.38068042,-2.397371544,15.70650388,-1.292288786,42.12416197,-3.962603262,1.602995307,1.222524271,2.302216565,1.748932735,2.149414316,-0.569261295,-1.261116376,-0.705726428,1.997944422,0.313435228,0.355203511,-0.597653203,1.997140521,2.195666069,1.141389908,-0.708441653,-0.158088601,1.709957033,0.002082983,0.576573518,2.174365777,-1.280688463,-0.902611775,0.47093633,1.052663896,-0.79382136,-0.879244409,6.351710109,-0.646843796
-0.546510462,-1.615197144,0.268106451,0.680793158,-1.404152655,-0.592213879,0.220274896,1.708540387,4.773752058,-3.064929786,2.616181716,-1.042373331,-0.926980991,-8.874742561,-1.7461899,-4.16439389,24.29267832,2.220968834,-2.309703104,-0.626990406,-2.092722158,-0.651513109,3.157650796,-12.50475524,-0.000254008,3.324492266,-0.659098311,-4.76804044,-8.857044404,-1.188229548,4.602924833,4.37395414,-6.82717609,7.756903832,-6.335902578,-5.991945454,8.57594479,-10.82079465,3.625749187,-17.19092808,-0.126504629,35.50118581,-1.904779363,-0.403763118,-0.862748979,-4.518288422,0.729385638,0.09144635,0.408832486,1.680569026,-0.711309342,0.467071745,-0.76263332,-0.670622742,-0.63741926,0.903248533,2.138405789,-1.09072838,-0.704725643,-1.142956711,1.512899819,1.91900623,0.16802379,0.015447984,0.835347586,1.966668669,-2.717835898,-0.688658183,-1.684479493,0.14644103,1.13248225,0.334185298
-0.547673494,13.64229536,-0.774080744,0.666456418,4.603956385,-0.546473155,-0.804743795,0.686473356,-1.430998238,-1.465703814,-2.502465839,3.972576632,2.097926716,-6.769403504,2.220972866,-5.854214955,-37.91735393,-1.893909881,-0.70270023,0.199256837,-3.682001975,1.231629815,-1.051652959,4.580458915,1.00429876,0.040403257,-0.644254285,7.085792111,3.603686941,-0.172107165,-1.37839172,1.077589387,5.05440553,-9.003813046,11.7077075,-5.276088305,-10.40418664,0.612178415,-1.546727824,-19.70422801,-3.947211545,-61.51074928,1.014680652,-0.42710798,-0.848917155,-0.423167442,0.68623559,-0.919529734,0.4173656,-0.328307354,2.240037774,-2.671546578,-0.742830685,0.341579504,-0.620621089,-1.076505231,1.130112269,-0.96547072,-0.673589754,-0.970406037,1.423704461,-2.174592466,-2.999735548,0.004754751,0.746131179,0.95236041,-2.46344755,-0.013694901,-0.231113126,0.177423249,2.946499008,-0.684997485
0.506897627,-0.396072078,1.142948324,2.741258597,1.613342454,-0.429839111,5.298497363,0.767270572,-0.291458249,0.90773354,-2.406061152,-3.088883511,4.089381017,-9.082818428,0.024947629,-3.11383206,-31.79562766,4.520427893,0.146483427,-0.821058914,4.66670335,4.990091987,-17.17454307,19.16178759,-1.025212791,-2.793038668,0.27301087,-2.627438737,2.020716419,-0.194030059,-1.598668759,16.27961921,4.112377424,-5.802354009,-0.419172117,5.282014262,-2.314815199,8.604634653,-1.271429185,14.34576674,1.048942373,45.90575099,-3.01008783,-0.485683934,1.236778767,-4.169608085,-1.410764712,-0.847276118,-0.59246394,-1.252980527,2.11986916,-2.038156131,-0.64437016,-0.668959708,-0.570971168,1.901568061,-0.811887811,-0.764184223,-0.661029889,0.088299845,-0.376769671,-0.985344053,-0.758846091,0.10263663,-1.356267108,-2.888423011,-0.05763316,-0.226868869,-0.080652892,-0.94527978,4.766708273,-0.685903138
