mobileauszhGen19,mobileauszhGen20,mobileauszhGen31,mobileauszhGen34,mobileauszhGen53,mobileauszhGen58,mobileauszhGen60,mobileauszhGen64,mobileauszhGen66,mobileauszhGen75,mobileauszhGen77,mobileauszhGen89,mobileauszhPho21,mobileauszhVid93,mobilewspzhBlo40,mobilewspzhBlo56,mobilewspzhBlo90,mobilewspzhGam94,mobilewspzhGen19,mobilewspzhGen20,mobilewspzhGen25,mobilewspzhGen31,mobilewspzhGen34,mobilewspzhGen36,mobilewspzhGen39,mobilewspzhGen47,mobilewspzhGen53,mobilewspzhGen58,mobilewspzhGen60,mobilewspzhGen64,mobilewspzhGen66,mobilewspzhGen75,mobilewspzhGen77,mobilewspzhGen83,mobilewspzhGen89,mobilewspzhLif30,mobilewspzhLif38,mobilewspzhLif55,mobilewspzhLif69,mobilewspzhPho03,mobilewspzhPho21,mobilewspzhPho33,mobilewspzhVid93,mobilewuszhBlo40,mobilewuszhBlo56,mobilewuszhBlo90,mobilewuszhGam94,mobilewuszhGen19,mobilewuszhGen20,mobilewuszhGen25,mobilewuszhGen31,mobilewuszhGen34,mobilewuszhGen36,mobilewuszhGen39,mobilewuszhGen47,mobilewuszhGen53,mobilewuszhGen58,mobilewuszhGen60,mobilewuszhGen64,mobilewuszhGen66,mobilewuszhGen75,mobilewuszhGen77,mobilewuszhGen83,mobilewuszhGen89,mobilewuszhLif30,mobilewuszhLif38,mobilewuszhLif55,mobilewuszhLif69,mobilewuszhPho03,mobilewuszhPho21,mobilewuszhPho33,mobilewuszhVid93
0.695989785,-0.569373386,2.678870536,-0.515391981,-1.091687231,1.435274249,-0.742185095,-1.576639497,-0.105608439,-2.1307149,-2.178627511,2.825616517,-0.840692872,5.748334396,0.703863852,-0.963970046,0.456435439,-0.797136794,16.16758593,-0.015790365,-0.838561747,-1.307798248,-0.69960511,-0.744038531,0.282883821,-0.06996965,0.222595722,-1.080676483,-3.778431085,-5.021010423,-1.489502978,-3.338693062,3.693591447,-0.918675266,-1.99758917,-0.700003139,0.219657863,1.412049744,-1.123662682,-0.570700028,-0.5601719,1.832617869,-2.352510259,0.222983768,-1.159999921,-2.417252895,-0.818719716,-58.47699387,2.997614218,-4.11369743,-7.439669898,-43.63681574,-3.086478962,-1.769246129,-1.315658007,10.35363475,-2.623893565,-8.901248234,0.815735555,-18.73371452,-8.350249897,-13.0027123,3.055368757,15.65165638,0.895256655,-1.409382156,-0.720714546,4.981038255,-1.714535728,-3.759869677,-2.122887678,-19.48201786
1.351476831,-0.466497361,0.049728846,-2.457000861,0.119461675,0.3027258,1.386925398,0.587006073,-1.202453805,0.104486604,0.766020297,0.530831725,0.283421164,2.93929349,1.578723881,-0.786468697,0.275887193,-0.722175549,-6.45907699,-0.0320087,2.244206049,-0.1604911,-1.749836832,-0.54378847,-0.78687252,-1.014185534,-0.786593024,0.182435774,-2.209393969,-7.054854523,-0.372056788,1.161996401,-0.049951148,-0.801554006,-2.790618792,0.385931933,1.225479368,-0.871432006,-0.964701596,-0.573076373,-0.429473259,-1.612914337,0.156168311,-0.796763388,-0.180234382,-2.606596541,-1.764703404,-42.84922242,2.711629194,0.217202957,7.342395053,30.81968942,2.821235105,3.420375104,-2.309436936,-0.096237289,13.1631252,-11.24432809,4.373341595,37.23486735,19.23314107,6.90713859,-0.484189203,-17.31074077,-0.338071761,-1.141879637,-0.499389645,1.958059417,-1.540960685,3.181780821,-1.075276182,184.0837726
22.0334919,-0.467126462,-1.762878592,1.78659826,-0.00286125,-1.703534441,0.139356534,-0.662143606,-1.012770023,2.943391333,-2.227787041,-1.276571492,1.149981453,7.495787866,-1.54706671,-0.652252894,-0.778475278,-0.592329491,0.86776175,-1.032208349,-1.224825554,-0.249346106,-1.589941694,-1.496822061,0.376298319,0.160672305,0.353967637,-0.996362278,2.127971615,-1.914449068,1.560477577,0.883121412,4.952127443,-0.749840198,2.381774438,-0.732386783,-1.032651339,-0.677509212,1.096478819,-0.491127728,-1.439698449,0.791443135,0.15692316,1.339481719,-0.269157951,-2.665073859,0.337661752,-19.21996121,5.391444727,12.70472969,-1.665432182,27.15434754,-8.279248094,-3.415027589,-4.241791121,6.814212108,-5.143641804,-6.556817009,-1.92056492,-9.886369483,42.16303023,11.42421394,1.070241417,0.569230683,-0.230371496,-0.131999918,-1.544419111,4.564554094,-0.442954379,11.46230134,-1.212127549,135.2071821
2.907997586,-0.373720792,-1.416990654,-0.571644169,-0.949028046,0.681154236,2.248368449,-1.436459694,-0.864902715,4.541828813,0.610748619,-0.893442932,-0.016115973,-0.548905654,1.005030633,1.418926187,0.404029852,-0.506166637,-0.881634272,-0.838941605,-0.879372815,-1.208136697,-0.383744504,0.843506346,-0.669789466,-0.844387297,-1.72461565,0.288243869,-2.955383277,2.297466968,-0.69053674,-0.142524018,2.26865468,-0.649381475,-0.043965239,-0.48432733,-0.75611839,0.445492484,-0.069058305,-0.31975583,-1.139894722,-1.230717294,5.703634323,-0.860861352,-0.08487248,-2.302686178,-0.529806393,-23.33862949,11.20309802,-2.702876751,-5.444291179,-21.85035821,2.635947883,-2.616664442,-1.35607881,-4.976186591,8.693599779,-0.58019734,0.919149203,-10.76274342,-0.201274847,64.74630634,-3.089105073,11.1737163,-1.149030749,-1.065848992,-0.184313449,-2.802795787,1.686272559,1.685842608,-2.903117123,-12.41226543
-3.187367009,0.69927467,-0.164080673,1.477896184,-0.830503304,-1.579765285,-1.153605083,1.665004973,-0.735380458,-1.847286618,7.282365589,0.236882195,0.030674653,-4.373992284,-1.250870214,1.074955311,-0.736549425,-0.482657531,-0.161902006,0.309676867,-0.811259268,-1.115596823,-2.551601159,-0.478149951,-0.567354323,-0.751516556,-1.502424293,-0.835162512,0.559052703,-1.179524171,-1.603158631,0.797513973,2.364828961,-0.655869529,-0.005138542,-0.486688398,-0.713660823,-0.671846898,-0.048900928,-0.28730726,0.923916701,0.022035895,-5.124515203,0.337675133,-2.055658029,4.899516863,0.502235271,61.30686751,-0.363828707,-1.791955243,-2.602594924,2.615479192,-2.777388008,-0.416747208,-2.263192357,0.685816026,-7.023618727,-9.612883984,-11.53864279,-32.60188826,100.2692952,87.62666973,3.319382189,-19.69623364,-0.00704432,2.001001097,-1.339599957,1.89963699,2.360875864,-1.838778652,-2.520705253,146.5513604
-2.30975994,0.522823553,-1.316488782,1.005619661,-0.713284123,0.622381256,0.209041028,-0.776142386,0.27572706,0.823875179,-2.929925195,1.054976329,0.000167558,-0.3157043,-1.008662317,-0.048318297,-0.643754911,-0.489713635,-6.459792823,-0.844413057,-0.734587155,-1.037281082,1.794344122,-1.371450853,0.436301552,0.252939208,-1.385972161,-0.692202048,-2.721235699,-5.797465423,-0.418336966,-2.372967753,-0.623444601,0.375345369,-3.199179223,0.53483782,-0.590271053,-0.525813561,-0.107754767,-0.295788191,-1.352641601,-0.148750425,1.077820739,-0.814888684,5.174431564,-1.429249743,-1.701919423,17.7080807,-0.14327193,-6.752973776,-4.379709678,-21.52255474,6.43439192,-0.572888937,8.813457267,2.349027219,8.882494638,-4.353159215,-7.003648204,33.84292048,32.03570059,33.24300471,-1.689271122,3.72269103,-1.122447063,-1.340878569,-0.114420527,0.252949541,-1.006831275,-1.675965448,0.934448678,17.63846158
-5.565769552,-0.566589947,-1.164067003,3.804685421,-0.70206576,3.300713191,-0.834776496,3.438971729,-1.911318208,2.529077473,-2.068926524,-0.084423178,-0.986251334,-3.094894352,1.079508965,2.0601446,1.351705541,-0.498214946,1.592333972,-0.730584941,-0.724535278,1.094853026,-2.764743734,1.772568953,-0.66603991,-0.850047572,0.737027051,-0.697869439,-1.106575593,1.285981354,-0.471458795,-0.96650912,-3.248296156,-0.76280865,-2.696176239,0.352556859,-0.609369992,-0.513834599,-0.128339373,-0.304269122,-1.10988322,-1.017767626,3.622018482,0.402879291,0.091124651,-4.146324214,-1.360158055,-35.64986956,-1.937268721,-3.398485002,-1.237079992,10.28998282,0.596454065,1.320387045,-1.100559538,6.231808873,-1.12767394,-17.68076715,1.97610662,74.92212924,0.229035997,-16.58361061,1.776979873,-21.92140062,-0.024676933,-0.070522877,-1.242138701,-2.85957847,0.227305984,-4.867241,-0.515445481,-26.77259613
-1.075747276,-0.474302213,-0.151480429,1.199093714,1.363038818,-2.188758939,-0.6401565,-1.245684872,5.322404085,2.228114551,2.541220937,0.132816215,-0.838411839,8.839280178,-1.115809137,-0.241042809,3.03443292,-0.467568097,-1.978566014,0.31745696,2.314828134,1.783761536,0.690851966,0.453382125,-0.551757125,-0.697261946,0.459213513,0.320350457,-0.543208465,-2.13385744,0.480239748,-0.955563575,-2.803310453,0.312733022,-0.511107857,0.306825966,-0.570037395,-0.491223058,-1.112539799,-0.312750053,-0.007616352,-0.942686011,-1.821343665,2.227282731,-0.737569413,-2.89633191,0.772940368,-23.38407469,-0.353506686,-1.613937102,1.601810586,-50.37170151,-10.38555715,-3.077036448,-2.504098051,-12.18816114,-7.209012249,-12.74190111,11.08296607,20.40297249,24.41681278,-22.14093381,0.351416966,-10.00886477,0.805281146,0.81784713,-1.016274626,-3.550406263,0.173288359,-0.324873152,3.372165867,-30.80592776
8.590707927,-0.441415442,-0.139256213,-2.813176689,-0.979971674,-1.628736256,0.343760726,-0.890613687,-2.737800067,1.8398126,1.117764278,2.253823021,-0.806393827,19.47398235,-0.879323952,0.897701521,-0.441011063,-0.477850749,-0.995256997,0.208207732,-1.193836304,-1.552852715,1.287796717,-0.578215628,-0.501815348,-0.649746828,0.371195901,-0.865236826,0.500558655,-1.948751869,-0.767591854,-0.021739631,-1.391137362,-0.852236839,1.243212285,-0.767165977,-0.535376553,-0.425089593,0.002579189,-0.321230984,-1.090047121,-0.788832296,1.473632141,0.876948373,-1.701522721,-0.829363249,0.500223473,-44.55075273,1.646824541,-6.034847011,-9.227015083,-14.60234278,-4.023455317,3.373856816,-0.245517681,1.473415521,-2.318065462,9.329018552,-4.064628088,-3.5061956,38.74926664,63.91247335,3.531282766,-22.38518807,-1.344572337,0.635670952,-0.983194456,-2.018527205,0.098696087,13.10519859,-2.398283399,75.34498794
13.9496603,-0.429780073,-1.160190462,-1.382293267,-0.776028829,0.569949028,0.281557359,-1.827073756,0.942851959,-0.328506143,-1.005680344,-0.039381758,2.25099482,20.98982956,0.267627378,0.701826804,-0.20280682,0.511866599,0.843778452,2.149440381,-0.821180688,-1.233736352,-0.991068747,-1.502749599,-0.480725284,-0.631083424,-1.734195652,0.253313534,1.277521291,0.840395827,-1.687984782,-0.170945851,0.607862326,0.250941486,-3.284953342,-0.606785532,-0.463348894,0.569549161,-1.13659088,-0.329711916,0.010817168,-0.781908901,1.180550558,0.80379617,-1.392719145,-5.241020566,-2.701422606,-25.65316856,1.439235014,0.42041643,7.398350917,46.5234244,-5.979076393,-1.321014554,-2.335995123,1.539599796,6.291359625,1.858765003,7.277747605,41.55830512,29.53094694,32.9901453,4.876402769,31.10149593,-0.13702984,2.448877653,0.071991659,4.061097241,-1.043595789,0.786017267,3.120628382,63.43433897
-5.886918185,1.615222218,0.027547394,4.956782575,-0.635996592,0.447606848,-1.673920274,-0.454083484,0.695729822,1.151003944,3.36361575,-0.796022243,-0.1122789,-6.430007453,2.216917144,0.695219906,-1.088493643,0.401023882,-4.924027668,-0.182671987,0.283219926,-0.023812674,3.242093727,2.777307342,-0.400975805,-0.537942414,0.69911522,1.171393095,-0.698865531,-3.219574435,-0.32759526,-1.997788881,3.693181716,-0.846229759,3.471483659,-0.520646782,-0.409094587,0.451134707,-0.870533583,-0.282909862,-0.065415912,0.390616122,-1.601002695,-0.149105663,-0.186744895,-4.377617307,2.941002184,-7.392968049,-3.241207937,-4.671937455,6.1115429,-13.19104534,-6.060121452,0.147423855,5.087156495,11.78989384,-0.813252271,-6.658084825,8.487392835,-5.870495528,-3.990912211,21.16512675,-0.42273414,-1.934650113,-0.115090056,1.17041235,-0.009308795,-1.327996517,-0.7913834,4.127930579,1.580708141,-40.74801827
-1.67004243,-0.723808584,-0.111614078,-5.03670631,0.406433484,-1.676338103,1.705261194,-1.623381061,-2.325983786,3.187535821,0.82965988,0.340501806,0.016354768,-7.48225289,1.858257961,-0.35267346,0.135116246,0.31019127,0.920367736,-1.05762421,-0.812703426,-0.135700423,-4.384565267,-1.775036342,0.593922813,2.454529544,0.41615407,2.979178407,-0.568706473,-0.664890115,-0.406908535,-0.716139134,1.198932707,1.260175115,-1.323245009,0.493741693,0.58107407,-0.597073546,0.16939543,0.708609207,-1.127593878,-0.789101761,2.908796782,0.953534369,-0.307820261,-2.229907449,-1.721452834,-21.42463742,-2.074918695,-5.020867285,-0.778328129,0.822339964,6.197322538,0.852507743,5.895008245,10.4974004,-4.161548858,-4.892192885,13.72363801,-3.53664942,20.82893105,5.328263064,4.838202316,-19.7893237,0.838057395,-0.922668158,-0.062309292,-7.048074355,0.310466253,1.786844358,3.408048394,-54.51971118
-3.394858073,0.484113951,0.854158825,5.009699867,-0.788272809,-1.469808541,1.311007645,-0.391484115,2.949313778,1.712141619,-2.834910884,-0.711069054,0.010027631,-1.026529879,-0.37334275,0.813604645,-1.027560906,1.233472317,1.466137903,0.121173644,1.241675224,2.755854839,-1.599604491,3.623476978,0.419788648,-1.057206432,-0.714506066,-0.522764055,0.549798692,2.157886876,2.512779592,1.290296483,1.341811996,0.922261276,-0.946198516,-0.685312719,0.403655151,0.495489934,-0.937602395,-0.4674593,0.035451314,-0.6764915,-1.784976874,-0.197988221,1.555347272,-1.157771661,1.702380889,10.53654224,5.286788579,-2.767028993,-4.660772619,-2.029019516,5.384557,-2.296729971,13.9711225,2.4403033,2.337812619,-7.909344343,2.378918029,-20.51185991,2.198859153,-12.5962641,-3.807580883,6.492603734,-0.382305411,-1.625850531,-1.14357084,9.073898544,-0.730573302,3.995609905,1.719127409,-35.36384158
